Name,CMP,MarCap_Cr,Assets_Cr,BookValue,Sales_Cr,PAT_12M_Cr,Investments_Cr,Capital_Employed_Cr,ROCE,ROE,ROA_12M,DebtoverEq,CFOpr5Yrs_Cr,CFOperations_Cr,Free_Cash_Flow_Cr,Export,FII_Hold,OPM,Sales_3Yrs,Profit_3Yrs,3Yrs_stock_return,Dep_Cr,Interest_Cr
Adani Green,1809.05,286559.40,62441.00,33.68,6082.00,545.15,841.00,54003.00,7.86,42.38,0.99,7.70,8899.20,3060.00,-11728.00,0.00,15.25,62.96,35.62,42.89,129.89,849.00,2617.00
HCL Technologies,1030.60,279670.32,88515.00,225.68,93078.00,13803.00,5205.00,65420.00,25.40,22.01,15.35,0.11,67176.00,16900.00,15345.00,0.00,17.17,22.40,12.33,10.28,22.51,4326.00,319.00
Axis Bank,906.60,278762.44,1195528.51,384.75,75838.00,18367.60,274608.13,132027.91,5.15,12.74,1.29,8.64,69920.77,28137.30,26735.58,0.00,46.12,59.51,7.10,40.87,6.97,1045.59,34922.66
Adani Transmissi,2270.20,253239.15,51564.43,95.34,12269.79,859.55,526.82,39699.89,11.63,18.61,2.73,3.16,18107.83,4096.61,-94.25,0.00,19.93,30.02,15.50,29.14,89.26,1427.15,2364.95
Avenue Super.,3875.60,251051.56,17141.67,231.64,38680.61,2307.88,12.56,15307.78,15.75,11.54,10.25,0.05,5564.46,1372.35,-1017.15,0.00,8.72,9.06,15.69,18.60,26.66,498.08,53.79
Maruti Suzuki,8141.60,245941.45,79019.60,1892.91,106456.70,6066.30,42906.70,20143.20,8.95,7.25,5.36,0.01,32581.30,1840.50,-1482.80,0.00,21.84,8.15,0.87,-13.15,3.57,2789.00,126.60
Sun Pharma.Inds.,1001.55,240305.39,74455.49,221.39,41023.86,7937.19,13256.95,50572.97,18.35,13.97,9.95,0.08,27813.28,8984.54,7550.11,0.00,16.00,26.30,9.97,23.62,32.58,2143.74,127.35
Bajaj Finserv,1497.05,238452.44,360274.64,266.59,73139.89,5468.18,122632.08,-93797.94,11.43,11.97,2.71,4.22,-99148.15,-33669.99,-34419.93,0.00,7.48,35.00,17.10,12.26,17.22,562.73,9629.46
Titan Company,2483.05,220441.74,23480.00,115.19,36439.00,3166.17,900.00,16722.00,21.40,26.36,11.90,0.75,4258.80,-724.00,-940.00,0.00,17.04,12.84,13.34,16.74,27.28,399.00,218.00
Wipro,377.65,207207.59,113743.20,130.00,85244.00,11264.30,29634.90,88738.10,21.13,20.33,12.90,0.27,55953.90,11079.70,9138.00,0.00,6.58,18.90,10.35,10.75,14.40,3077.80,532.50
UltraTech Cem.,6909.40,199458.81,86233.22,1783.54,57808.88,6659.22,3616.91,65427.81,14.29,15.17,8.45,0.25,40599.93,9283.24,3677.09,4.14,14.06,18.08,8.25,44.19,19.03,2714.75,944.71
Nestle India,20132.75,194111.35,8615.63,241.48,16347.59,2345.35,808.98,3794.18,147.06,113.08,28.81,0.12,10891.34,2271.37,1540.55,4.35,12.05,22.15,9.21,13.03,11.34,390.19,201.19
JSW Steel,727.85,175937.39,196479.00,256.52,164830.00,7545.38,5087.00,135709.00,28.23,37.62,12.53,1.25,84898.00,26270.00,16222.00,0.00,10.75,14.73,19.98,41.39,39.74,6001.00,4968.00
O N G C,139.80,175872.30,628557.15,221.70,653145.63,38554.27,71043.71,411926.04,16.79,19.51,9.02,0.54,314027.91,78000.04,44909.78,75.91,8.96,11.89,5.22,14.26,3.53,26883.16,5696.04
Adani Ports,794.10,171536.63,99849.03,205.43,17911.02,5332.02,3397.11,79299.99,11.15,14.66,6.10,1.04,36395.35,9800.22,6063.75,0.00,14.03,51.68,13.40,7.79,29.15,2739.63,2540.58
